Japanese,English,Hints,Type


貼ります;はります;harimasu,put up;poste;paste,［-］;[-],Verb
掛けます;かけます;kakemasu,hang,［-］;[-],Verb
飾ります;かざります;kazarimasu,decorate;display,［-］;[-],Verb
並べます;ならべます;narabemasu,arrange;line up,［-］;[-],Verb
植えます;うえます;uemasu,plant,［-］;[-],Verb
戻します;もどします;modoshimasu,return;put ~ back,［-］;[-],Verb
纏めます;まとめます;motomemasu,put ~ togheter;put ~ in shape;sum up,［-］;[-],Verb
片付けます;かたづけます;katadzukemasu,put things in order;tidy up,［-］;[-],Verb
仕舞います;しまいます;shimaimasu,put things away,［-］;[-],Verb
決めます;きめます;kemamasu,decide,［-］;[-],Verb
知らせます;しらせます;shirasemasu,to inform,［-］;[-],Verb
相談します;そうだんします;soudanshimasu,consult;discuss,［-］;[-],Verb
予習します;よしゅうします;yoshuushimasu,prepare a lesson,［-］;[-],Verb
復習します;ふくしゅうします;fukushuushimasu,review a lesson,［-］;[-],Verb
そのままにします;そのままにします;sonomamanishimasu,leave things as they are,［-］;[-],Verb
お子さん;おこさん;okosan,another's child,［-］;[-],Noun
授業;じゅぎょう;jugyou,class,［-］;[-],Noun
講義;こうぎ;kougi,lecture,［-］;[-],Noun
ミーティング;ミーティング;miitingu,meeting,［-］;[-],Noun
予定;よてい;yotei,plan;schedule,［-］;[-],Noun
お知らせ;おしらせ;oshirase,a notice,［-］;[-],Noun
ガイドブック;ガイドブック;gaidobukku,guidebook,［-］;[-],Noun
案内書;あんないしょ;annaisho,guidebook,［-］;[-],Noun
カレンダー;カレンダー;karendaa,calendar,［-］;[-],Noun
ポスター;ポスター;posutaa,poster,［-］;[-],Noun
ゴミ箱;ごみばこ;gomibako,dustbin;trash can;rubbish bin,［-］;[-],Noun
人形;にんぎょう;ningyou,doll,［-］;[-],Noun
花瓶;かびん;kabin,vase,［-］;[-],Noun
鏡;かがみ;kagami,mirror,［-］;[-],Noun
引き出し;ひきだし;hikidashi,drawer,［-］;[-],Noun
玄関;げんかん;genkan,front door;porch;entrance hall,［-］;[-],Noun
廊下;ろうか;rouka,corridor;hallway,［-］;[-],Noun
壁;かべ;kabe,wall,［-］;[-],Noun
池;いけ;ike,pond,［-］;[-],Noun
交番;こうばん;kouban,police box,［-］;[-],Noun
元の所;もとのところ;motonotokoro,original place,［-］;[-],Noun
リュック;リュック;ryukku,rucksack,［-］;[-],Noun
非常袋;ひじょうぶくろ;hijoubukuro,emergency kit,［-］;[-],Noun
非常時;ひじょうじ;hijouji,emergency,［-］;[-],Noun
生活します;せいかつします;seikatsu,live,［-］;[-],Verb
懐中電灯;かいちゅうでんとう;seichuudentou,torch;flashlight,［-］;[-],Noun
～とか、～とか;～とか、～とか;~toka、~toka,~、~、 and so on,［-］;[-],Noun
周り;まわり;mawari,round;around,［-］;[-],Noun
丸い;まるい;marui,round,［-］;[-],Noun
真ん中;まんなか;mannaka,center,［-］;[-],Noun
隅;すみ;sumi,corner,［-］;[-],Noun
まだ;まだ;mada,still,［-］;[-],Noun
～程;～ほど;~hodo,about~,［-］;[-],Noun
予定表;よていひょう;yoteihyou,schedule,［-］;[-],Noun
ご苦労さま;ごくろうさま;gokurousama,Thanks for your hard work,［-］;[-],Noun
希望;きぼう;kibou,hope;request,［-］;[-],Noun
何かご希望がありますか;なにかごきぼうがありますか;nanikagokibougaarimasuka,Do you have any request?,［-］;[-],Noun
ミューシカル;ミューシカル;miuushikaru,musical,［-］;[-],Noun
丸い;まるい;marui,round;round shape,［-］;[-],Noun
夢を見ます;ゆめをみますyumewomimasu,dream,［-］;[-],Verb
月;つき;tsuki,moon,［-］;[-],Noun
ある～;ある～;aru~,one ~;a certain ~,［-］;[-],Noun
地球;ちきゅう;chikyuu,earth,［-］;[-],Noun
嬉しい;うれしい;ureshii,happy;glad,［-］;[-],Noun
嫌［な］;いや［な］;iya[na],hateful;disagreeable,［-］;[-],Noun
すると;すると;suruto,and then,［-］;[-],Noun
目がめる覚;めがさめます;megasamemasu,wake up,［-］;[-],Verb
